"study","platform","subset","target_label","n","rho_orig","rho_lower","rho_upper","yi","vi"
"Validation #2 (GSE75214)","Microarray","All_samples","TAK1",194,-0.110404194384751,-0.247433147503134,0.0309546508653591,-0.110856079267454,0.00523560209424084
"Validation #2 (GSE75214)","Microarray","All_samples","NFKB_p65",194,0.142777547221754,0.00193915822313025,0.278061966517452,0.143759783291078,0.00523560209424084
"Validation #2 (GSE75214)","Microarray","All_samples","FOXC1",194,0.264197754064748,0.128087720336574,0.390539467368147,0.270615809216143,0.00523560209424084
"Validation #2 (GSE75214)","Microarray","Control","NLRP3",22,-0.505364201016375,-0.764160366168414,-0.106424815992218,-0.556484204901131,0.0526315789473684
"Validation #2 (GSE75214)","Microarray","Control","CASP1",22,-0.693958215697346,-0.863057262517719,-0.38498242715576,-0.8555507831053,0.0526315789473684
"Validation #2 (GSE75214)","Microarray","Control","IL1B",22,0.236589497459063,-0.205527008433477,0.59850411001441,0.241158283103819,0.0526315789473684
"Validation #2 (GSE75214)","Microarray","Control","ASC",22,0.0954263128176172,-0.339862687185019,0.497043893164635,0.0957175622145347,0.0526315789473684
"Validation #2 (GSE75214)","Microarray","Control","TAK1",22,-0.0355731225296443,-0.450432696760063,0.391920204229232,-0.0355881392339475,0.0526315789473684
"Validation #2 (GSE75214)","Microarray","Control","NFKB_p65",22,-0.50197628458498,-0.762265091756907,-0.101934561328624,-0.551944672884476,0.0526315789473684
"Validation #2 (GSE75214)","Microarray","Control","FOXC1",22,0.302089215132693,-0.13697145160519,0.641943104513136,0.311817031405684,0.0526315789473684
"Validation #2 (GSE75214)","Microarray","UC","NLRP3",97,-0.435461813591416,-0.584173831114428,-0.258460847392656,-0.466616935004324,0.0106382978723404
"Validation #2 (GSE75214)","Microarray","UC","CASP1",97,0.129562907637282,-0.0717398411297379,0.320723929363808,0.130295269488184,0.0106382978723404
"Validation #2 (GSE75214)","Microarray","UC","IL1B",97,-0.40632232274353,-0.560359399346455,-0.225117021830622,-0.431198376466462,0.0106382978723404
"Validation #2 (GSE75214)","Microarray","UC","ASC",97,0.520592257521565,0.358351550166173,0.652310726080436,0.577151854417119,0.0106382978723404
"Validation #2 (GSE75214)","Microarray","UC","TAK1",97,-0.243070166210814,-0.422057683045986,-0.04584376915526,-0.248034489851058,0.0106382978723404
"Validation #2 (GSE75214)","Microarray","UC","NFKB_p65",97,0.189446139280454,-0.0103955618069859,0.374735722073824,0.191762627960618,0.0106382978723404
"Validation #2 (GSE75214)","Microarray","UC","FOXC1",97,0.0610403955396592,-0.140114324518446,0.257356135274091,0.0611163762160287,0.0106382978723404
"Validation #2 (GSE75214)","Microarray","CD","NLRP3",75,0.0443243243243243,-0.184497612756203,0.268588169108608,0.0443533857874373,0.0138888888888889
"Validation #2 (GSE75214)","Microarray","CD","CASP1",75,-0.0276813655761024,-0.253057346802607,0.200544471245504,-0.0276884391844554,0.0138888888888889
"Validation #2 (GSE75214)","Microarray","CD","IL1B",75,0.160426742532006,-0.0690534613585622,0.373782665144392,0.16182468100876,0.0138888888888889
"Validation #2 (GSE75214)","Microarray","CD","ASC",75,0.126941678520626,-0.102991525473971,0.343996518389759,0.127630201979014,0.0138888888888889
"Validation #2 (GSE75214)","Microarray","CD","TAK1",75,-0.0681934566145092,-0.290660602775519,0.161268461075539,-0.0682994603018656,0.0138888888888889
"Validation #2 (GSE75214)","Microarray","CD","NFKB_p65",75,0.173854907539118,-0.0552927680195348,0.385605135189603,0.17563899489807,0.0138888888888889
"Validation #2 (GSE75214)","Microarray","CD","FOXC1",75,0.29778093883357,0.0759481048019311,0.491526449109967,0.307082853248514,0.0138888888888889
