"Epithelial","Immune","Other","sample"
0.788067169222831,0.17250147563465,0.0394313551425184,"MSCCR_reGRID_66_Biopsy_130"
0.807324537619944,0.153549461596917,0.0391260007831382,"MSCCR_reGRID_68_Biopsy_131"
0.872504915615431,0.116473551613706,0.0110215327708635,"MSCCR_reGRID_68_Biopsy_132"
0.870788683540522,0.1203639591398,0.00884735731967756,"MSCCR_reGRID_68_Biopsy_133"
0.776291565465154,0.183649134839,0.0400592996958452,"MSCCR_reGRID_69_Biopsy_134"
0.862352756035155,0.137647243964845,0,"MSCCR_reGRID_69_Biopsy_135"
0.865416015380205,0.120830666441023,0.0137533181787727,"MSCCR_reGRID_69_Biopsy_136"
0.856472386450747,0.128048711365717,0.0154789021835365,"MSCCR_reGRID_70_Biopsy_137"
0.790233426589958,0.180332230721472,0.0294343426885699,"MSCCR_reGRID_71_Biopsy_140"
0.85424487492943,0.14575512507057,0,"MSCCR_reGRID_71_Biopsy_138"
0.870719797129337,0.121716278863671,0.00756392400699124,"MSCCR_reGRID_71_Biopsy_139"
0.704888366452508,0.295111633547491,0,"MSCCR_reGRID_72_Biopsy_141"
0.860430345590961,0.139569654409039,0,"MSCCR_reGRID_72_Biopsy_142"
0.737621830636503,0.262378169363496,0,"MSCCR_reGRID_72_Biopsy_143"
0.801142257074142,0.195545809823334,0.00331193310252365,"MSCCR_reGRID_73_Biopsy_145"
0.884561460253879,0.115438539746121,0,"MSCCR_reGRID_73_Biopsy_144"
0.878670581867048,0.111741408748982,0.00958800938396953,"MSCCR_reGRID_75_Biopsy_146"
0.816304962389846,0.174425354977618,0.00926968263253536,"MSCCR_reGRID_75_Biopsy_147"
0.888900238204224,0.108099374527091,0.00300038726868479,"MSCCR_reGRID_77_Biopsy_148"
0.870852467552698,0.120857565169799,0.00828996727750275,"MSCCR_reGRID_77_Biopsy_149"
0.79879009005488,0.177229067437653,0.0239808425074666,"MSCCR_reGRID_78_Biopsy_151"
0.80864037666577,0.143357308923396,0.0480023144108336,"MSCCR_reGRID_78_Biopsy_150"
0.84366058382521,0.15633941617479,0,"MSCCR_reGRID_79_Biopsy_153"
0.780139313715873,0.198138448800529,0.021722237483598,"MSCCR_reGRID_79_Biopsy_152"
0.874972019524251,0.125027980475749,0,"MSCCR_reGRID_80_Biopsy_156"
0.715160078317766,0.284839921682233,0,"MSCCR_reGRID_80_Biopsy_154"
0.904487339783027,0.0955126602169731,0,"MSCCR_reGRID_80_Biopsy_155"
0.885182516932626,0.114817483067374,0,"MSCCR_reGRID_81_Biopsy_157"
0.874844458442502,0.125155541557498,0,"MSCCR_reGRID_81_Biopsy_159"
0.85865754825062,0.137114286216457,0.00422816553292304,"MSCCR_reGRID_81_Biopsy_158"
0.809899803092886,0.190100196907113,0,"MSCCR_reGRID_82_Biopsy_160"
0.806824833609901,0.193175166390099,0,"MSCCR_reGRID_82_Biopsy_161"
0.763256295854797,0.23470931520071,0.0020343889444922,"MSCCR_reGRID_84_Biopsy_162"
0.826916195847063,0.146145662588834,0.0269381415641028,"MSCCR_reGRID_84_Biopsy_163"
0.773657549115751,0.196519166838904,0.0298232840453452,"MSCCR_reGRID_85_Biopsy_164"
0.919483387452093,0.0805166125479068,0,"MSCCR_reGRID_85_Biopsy_165"
0.850594631026382,0.149405368973618,0,"MSCCR_reGRID_85_Biopsy_166"
0.725774174413336,0.274225825586664,0,"MSCCR_reGRID_86_Biopsy_167"
0.840485191928148,0.159514808071852,0,"MSCCR_reGRID_86_Biopsy_169"
0.766905297193404,0.233094702806596,0,"MSCCR_reGRID_86_Biopsy_168"
0.89199339724252,0.0842487313938356,0.0237578713636446,"MSCCR_reGRID_87_Biopsy_171"
0.837164693647035,0.144139155827951,0.0186961505250136,"MSCCR_reGRID_87_Biopsy_170"
0.777945056363382,0.207006679087699,0.0150482645489191,"MSCCR_reGRID_88_Biopsy_172"
0.915819173922208,0.084180826077792,0,"MSCCR_reGRID_88_Biopsy_173"
0.948984902538957,0.0510150974610435,0,"MSCCR_reGRID_88_Biopsy_174"
