"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","1/65","30/9382",0.0333333333333333,4.81128205128205,1.74631532998441,0.188517366704649,1,1,"255189",1
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","2/65","116/9382",0.0172413793103448,2.48859416445623,1.34741803922829,0.191815477387616,1,1,"1365/1364",2
"Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","1/65","31/9382",0.032258064516129,4.6560794044665,1.7029842693457,0.194157483381744,1,1,"218",1
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","2/65","125/9382",0.016,2.30941538461538,1.23095028278419,0.21458610197951,1,1,"130367/340485",2
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","1/65","36/9382",0.0277777777777778,4.00940170940171,1.51099046555375,0.22178421267901,1,1,"10331",1
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","1/65","37/9382",0.027027027027027,3.9010395010395,1.4767536399821,0.227196584407649,1,1,"2875",1
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","1/65","37/9382",0.027027027027027,3.9010395010395,1.4767536399821,0.227196584407649,1,1,"218",1
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","3/65","238/9382",0.0126050420168067,1.81939237233355,1.06943768856072,0.227801868994137,1,1,"2261/10298/255189",3
"Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","1/65","38/9382",0.0263157894736842,3.79838056680162,1.44369468693825,0.23257188906399,1,1,"51548",1
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","2/65","134/9382",0.0149253731343284,2.15430539609644,1.12406755638523,0.237605979034615,1,1,"1906/255189",2
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","2/65","138/9382",0.0144927536231884,2.09186176142698,1.07924595597475,0.247887286436638,1,1,"125965/1351",2
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","3/65","250/9382",0.012,1.73206153846154,0.97989116439357,0.249995711464218,1,1,"23327/2261/55040",3
"Metabolism","Amino acid metabolism","hsa00380","Tryptophan metabolism","1/65","42/9382",0.0238095238095238,3.43663003663004,1.32185555099585,0.253707410496947,1,1,"26",1
"Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","2/65","144/9382",0.0138888888888889,2.00470085470085,1.01478079004181,0.263340132410103,1,1,"2261/9314",2
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","1/65","48/9382",0.0208333333333333,3.00705128205128,1.16436297811579,0.28434041599893,1,1,"587",1
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","1/65","49/9382",0.0204081632653061,2.94568288854003,1.14051936901543,0.289324117837378,1,1,"84152",1
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","2/65","155/9382",0.0129032258064516,1.8624317617866,0.904281257867709,0.291682001795132,1,1,"51655/1870",2
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","2/65","157/9382",0.0127388535031847,1.83870651641352,0.885156075649634,0.296826836647247,1,1,"125965/1351",2
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","1/65","51/9382",0.0196078431372549,2.83016591251885,1.09459800960896,0.299189226701653,1,1,"255189",1
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","1/65","52/9382",0.0192307692307692,2.77573964497041,1.07246552220902,0.304071093625283,1,1,"255189",1
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","2/65","160/9382",0.0125,1.80423076923077,0.856981241608756,0.30453490184051,1,1,"1365/1364",2
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","1/65","53/9382",0.0188679245283019,2.7233671988389,1.05085164764245,0.308919472930145,1,1,"7421",1
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","1/65","54/9382",0.0185185185185185,2.67293447293447,1.02973325925654,0.31373459076266,1,1,"587",1
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","1/65","56/9382",0.0178571428571429,2.57747252747253,0.988897572970864,0.323265939090593,1,1,"3549",1
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","1/65","59/9382",0.0169491525423729,2.44641460234681,0.930859552532436,0.337319068295406,1,1,"124975",1
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","1/65","59/9382",0.0169491525423729,2.44641460234681,0.930859552532436,0.337319068295406,1,1,"11343",1
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","1/65","59/9382",0.0169491525423729,2.44641460234681,0.930859552532436,0.337319068295406,1,1,"2064",1
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","1/65","60/9382",0.0166666666666667,2.40564102564103,0.91230215057279,0.341939282878781,1,1,"255189",1
"Organismal Systems","Nervous system","hsa04730","Long-term depression","1/65","60/9382",0.0166666666666667,2.40564102564103,0.91230215057279,0.341939282878781,1,1,"255189",1
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","1/65","63/9382",0.0158730158730159,2.29108669108669,0.8587845481923,0.355610462844248,1,1,"255189",1
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","1/65","65/9382",0.0153846153846154,2.22059171597633,0.824768844632214,0.364568822494485,1,1,"11343",1
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","1/65","66/9382",0.0151515151515152,2.18694638694639,0.808223602928284,0.369001904660189,1,1,"3291",1
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","1/65","67/9382",0.0149253731343284,2.15430539609644,0.791972125287769,0.373404531989202,1,1,"218",1
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","1/65","68/9382",0.0147058823529412,2.12262443438914,0.776004122962115,0.377776910456266,1,1,"3728",1
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","1/65","69/9382",0.0144927536231884,2.09186176142698,0.760309818790903,0.382119244665021,1,1,"255189",1
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","1/65","69/9382",0.0144927536231884,2.09186176142698,0.760309818790903,0.382119244665021,1,1,"1906",1
"Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","1/65","69/9382",0.0144927536231884,2.09186176142698,0.760309818790903,0.382119244665021,1,1,"84152",1
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","1/65","70/9382",0.0142857142857143,2.06197802197802,0.744879914633903,0.386431737856986,1,1,"10298",1
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","1/65","73/9382",0.0136986301369863,1.97723919915701,0.700090190721151,0.399192183502517,1,1,"218",1
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","1/65","73/9382",0.0136986301369863,1.97723919915701,0.700090190721151,0.399192183502517,1,1,"1870",1
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","2/65","201/9382",0.00995024875621891,1.43620359739763,0.522138210602304,0.407515069863372,1,1,"3728/7102",2
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","1/65","75/9382",0.0133333333333333,1.92451282051282,0.671400888031681,0.407553607789206,1,1,"2064",1
"Human Diseases","Cancer: specific types","hsa05214","Glioma","1/65","76/9382",0.0131578947368421,1.89919028340081,0.657385432342332,0.411691247790678,1,1,"1870",1
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","2/65","203/9382",0.00985221674876847,1.4220538082607,0.507763356219945,0.412375654362907,1,1,"10298/2064",2
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","1/65","77/9382",0.012987012987013,1.87452547452547,0.643580441280152,0.415800432068951,1,1,"1870",1
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","2/65","205/9382",0.00975609756097561,1.40818011257036,0.493539144957198,0.417217331111991,1,1,"125965/1351",2
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","1/65","78/9382",0.0128205128205128,1.85049309664694,0.629979535495098,0.419881353285019,1,1,"113026",1
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","1/65","79/9382",0.0126582278481013,1.82706913339825,0.61657661164361,0.423934202816024,1,1,"218",1
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","2/65","217/9382",0.00921658986175115,1.33030840127614,0.411174763021172,0.445848540730067,1,1,"9314/7421",2
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","1/65","85/9382",0.0117647058823529,1.69809954751131,0.540006021329978,0.44767235208,1,1,"203",1
"Organismal Systems","Sensory system","hsa04742","Taste transduction","1/65","86/9382",0.0116279069767442,1.6783542039356,0.527838285364227,0.451533952285959,1,1,"6337",1
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","1/65","86/9382",0.0116279069767442,1.6783542039356,0.527838285364227,0.451533952285959,1,1,"3728",1
