"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.50598945274402e-144,4.14827583489185,0.402,0.033,2.91183060688057e-140,"Epithelial","PKIB"
1.99889502825073e-144,3.59469382254609,0.416,0.05,3.86486353712279e-140,"Epithelial","GIPC1"
5.38820051649479e-141,4.31734269977552,0.388,0.029,1.04180856986427e-136,"Epithelial","PKP3"
1.96406318110898e-140,4.0670219750179,0.39,0.029,3.79751616067421e-136,"Epithelial","CDX1"
1.61823708998868e-139,2.58987641046685,0.466,0.112,3.12886141349312e-135,"Epithelial","MVP"
6.46809835980263e-139,3.63226921769974,0.404,0.046,1.25060681786784e-134,"Epithelial","SPINT1"
1.17968264767476e-138,2.14048796863878,0.505,0.159,2.28091639927915e-134,"Epithelial","FAM162A"
4.35279463635729e-138,0.883089857569937,0.817,0.625,8.41612842939682e-134,"Epithelial","UBL5"
2.18980909299278e-136,1.7625409609788,0.56,0.219,4.23399588130154e-132,"Epithelial","TIMM13"
8.16114147555927e-135,4.75724916045444,0.368,0.022,1.57795670429938e-130,"Epithelial","AOC1"
2.32892565252461e-134,4.21581716959223,0.388,0.04,4.50297774915633e-130,"Epithelial","WFDC2"
1.26929202202777e-133,1.02016270361411,0.778,0.432,2.45417612459069e-129,"Epithelial","HSPA1A"
2.64760094236723e-133,3.39265715111106,0.404,0.056,5.11913642206704e-129,"Epithelial","CDH17"
3.36465541761751e-133,4.02236375226115,0.382,0.036,6.50556124996346e-129,"Epithelial","MYH14"
1.17197578419141e-132,1.80551175573521,0.547,0.225,2.26601517873409e-128,"Epithelial","C19orf70"
4.49765226588147e-132,2.53169340943125,0.473,0.14,8.69621065608183e-128,"Epithelial","HIGD1A"
5.07562100367844e-132,1.595309033486,0.576,0.263,9.81371321061227e-128,"Epithelial","NDUFA3"
8.21064045751745e-132,1.30534230220074,0.639,0.356,1.587527332461e-127,"Epithelial","MINOS1"
9.64053005144739e-132,1.35802412664938,0.628,0.34,1.86399648544735e-127,"Epithelial","NDUFB9"
1.47030659411498e-130,1.09159707869286,0.712,0.456,2.84283779972131e-126,"Epithelial","NDUFB2"
6.2067851543491e-130,1.69514165325615,0.577,0.243,1.2000819095934e-125,"Epithelial","FABP5"
1.10332110088577e-129,4.01804532284049,0.373,0.031,2.13327134856263e-125,"Epithelial","PRAC1"
